COUNTRY,YEAR,VALUE
CHE,1987,7400
CHE,1988,7600
CHE,1989,2700
CHE,1990,1990
CHE,1991,2700
CHE,1992,4300
CHE,1993,3000
CHE,1994,1400
CHE,1995,1400
CHE,1996,2000
CHE,1997,6400
CHE,1998,2000
CHE,1999,800
CHE,2001,700
CHE,2003,574
CHE,2004,39
CHE,2005,60
CHE,2007,1015
CHE,2008,2022
CHE,2009,958
CHE,2010,77
CHE,2011,621
CHE,2012,61
CHE,2013,175
CHE,2014,23
CHE,2015,35
CHE,2016,65
CHE,2017,105
CHE,2018,50
CHE,2020,37
,1990,46085
,1991,42770
,1992,41699
,1993,121321
,1994,56668
,1995,12948
,1996,19278
,1997,17491
,1998,24767
,1999,14028
,2000,7196
,2001,20367
,2002,18486
,2003,8052
,2004,7498
,2005,23284
,2006,45423
,2007,2167
,2008,118
,2009,194
,2010,292
,2011,2838
,2012,15199
,2013,11163
,2014,9756
,2015,19313
,2016,467
,2017,6166
,2018,58036
,2019,79737
CYP,1974,217
CYP,1975,0
CYP,1976,19
CYP,1977,118
CYP,1978,8
CYP,1979,4
CYP,1980,0
CYP,1981,3
CYP,1982,27
CYP,1983,183
CYP,1984,3
CYP,1985,1
CYP,1986,1
CYP,1987,0
CYP,1988,0
CYP,1989,0
CYP,1990,4
CYP,1991,1
CYP,1992,20
CYP,1993,0
CYP,1994,0
CYP,1995,0
CYP,1996,55
CYP,1997,1
CYP,1998,1
CYP,1999,0
CYP,2000,0
CYP,2002,0
CYP,2003,0
CYP,2004,0
CYP,2005,1
CYP,2006,0
CYP,2007,0
CYP,2008,1
CYP,2009,0
CYP,2010,18
CYP,2011,0
CYP,2012,1
CYP,2013,0
CYP,2014,10
CYP,2015,0
CYP,2016,0
CYP,2017,3
CYP,2018,15
CYP,2019,6
CZE,1990,2420
CZE,1991,839
CZE,1992,416
CZE,1993,14
CZE,1994,9
CZE,1995,5
CZE,1996,10
CZE,1997,14
CZE,1998,19
CZE,1999,2
CZE,2000,9
CZE,2001,6
CZE,2002,4
CZE,2003,30
CZE,2004,17
CZE,2005,0
CZE,2006,7
CZE,2007,2
CZE,2008,2
CZE,2009,5
CZE,2010,0
CZE,2011,17
CZE,2012,22
CZE,2013,15
CZE,2014,222
CZE,2015,9
CZE,2016,7
CZE,2017,142
CZE,2018,207
CZE,2019,590
DEU,1974,400
DEU,1975,1493
DEU,1976,3694
DEU,1977,1067
DEU,1978,941
DEU,1979,2128
DEU,1980,28745
DEU,1981,5290
DEU,1982,2029
DEU,1983,9798
DEU,1984,11759
DEU,1985,568
DEU,1986,199
DEU,1987,189
DEU,1988,17
DEU,1989,45
DEU,2001,6024
DEU,2002,4657
DEU,2003,779
DEU,2004,121
DEU,2005,778
DEU,2006,2307
DEU,2007,567
DEU,2008,917
DEU,2009,574
DEU,2010,780
DEU,2011,1607
DEU,2012,166
DEU,2013,1771
DEU,2014,443
DEU,2015,2464
DEU,2016,326
DEU,2017,929
DEU,2018,543
DEU,2019,514
DNK,1974,54581
DNK,1975,14167
DNK,1976,57756
DNK,1977,52308
DNK,1978,18593
DNK,1979,66493
DNK,1980,28249
