COUNTRY,YEAR,VALUE
BGR,2005,0.04
BGR,2006,0.01
BGR,2007,0.01
BGR,2008,0.01
BGR,2009,29.65
BGR,2010,292.05
BGR,2011,2.12
BGR,2012,0.01
BGR,2013,0.19
BGR,2014,0
BGR,2015,0
BGR,2016,0.01
BGR,2017,2.32
BGR,2018,0.18
BGR,2019,17.34
BGR,2020,3.68
,1990,28.77
,1991,17.08
,1992,12.59
,1993,32.09
,1994,12.65
,1995,1.93
,1996,1.05
,1997,10.37
,1998,17.14
,1999,6.77
,2000,1.17
,2001,0.32
,2002,1.74
,2003,3.97
,2004,3.98
,2005,29.07
,2006,1.73
,2007,1.64
,2008,0.06
,2009,0
,2010,0.19
,2011,1.29
,2012,0.48
,2013,0.11
,2014,0.98
,2015,27.26
,2016,0.25
,2017,0.93
,2018,2.24
,2019,23.95
,1990,16.76
,1991,15.47
,1992,14.98
,1993,43.76
,1994,20.44
,1995,4.66
,1996,6.97
,1997,6.35
,1998,9
,1999,5.12
,2000,2.63
,2001,7.45
,2002,6.79
,2003,2.95
,2004,2.74
,2005,8.52
,2006,16.65
,2007,0.79
,2008,0.04
,2009,0.07
,2010,0.11
,2011,1.02
,2012,5.44
,2013,3.98
,2014,3.46
,2015,6.85
,2016,0.16
,2017,2.14
,2018,20.09
,2019,27.51
,2020,3.91
HRV,1990,2.49
HRV,1991,2.44
HRV,1992,3.35
HRV,1993,1.82
HRV,1994,2.89
HRV,1995,14.59
HRV,1996,2.65
HRV,1997,5.25
HRV,1998,14.4
HRV,1999,0.68
HRV,2000,0.21
HRV,2001,0.18
HRV,2002,0.14
HRV,2003,0.43
HRV,2004,1.22
HRV,2005,0.05
HRV,2006,0.02
HRV,2007,0
HRV,2008,1.15
HRV,2009,0.05
HRV,2010,0.16
HRV,2011,0.27
HRV,2012,0.05
HRV,2013,0
HRV,2015,4.86
HRV,2016,0.09
HRV,2017,0.17
HRV,2018,0.56
HRV,2019,1.26
CYP,1974,41.69
CYP,1975,0
CYP,1976,3.82
CYP,1977,23.72
CYP,1978,1.6
CYP,1979,0.79
CYP,1980,0
CYP,1981,0.58
CYP,1982,5.18
CYP,1983,34.69
CYP,1984,0.56
CYP,1985,0.18
CYP,1986,0.18
CYP,1987,0
CYP,1988,0
CYP,1989,0
CYP,1990,0.69
CYP,1991,0.17
CYP,1992,3.28
CYP,1993,0
CYP,1994,0
CYP,1995,0
CYP,1996,8.32
CYP,1997,0.15
CYP,1998,0.15
CYP,1999,0
CYP,2000,0
CYP,2002,0
CYP,2003,0
CYP,2004,0
CYP,2005,0.13
CYP,2006,0
CYP,2007,0
CYP,2008,0.13
CYP,2009,0
CYP,2010,2.16
CYP,2011,0
CYP,2012,0.12
CYP,2013,0
CYP,2014,1.17
CYP,2015,0
CYP,2016,0
CYP,2017,0.35
CYP,2018,1.72
CYP,2019,0.69
