Country / Region,Disease,Denominator,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Hungary,Measles,"per 1,000,000 total population",0,2.4,1.4,3.7,0,0,0,0.1,0.2,0.5,0,0.1,0,0,0.1,0.2,0,0,0,2,0.1,0.1,2.2,2.3,1.2,0.4,1.1,3.2,1.4,1.5,2.8,,105.7,2.9,1.6,1.9,9.2,11.6,235.3,983.9,111.4
Iceland,Measles,"per 1,000,000 total population",0,26.5,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,3.7,3.7,7.5,26.4,30.5,30.8,38.8,54.9,91.1,44,56.7,540.3,"1,548.1",678.4,165.2,60,104,57
India,Measles,"per 1,000,000 total population",4.1,7.6,14.4,9,13,23,20.5,6.5,2.6,26.9,25.5,46.1,36.9,34.8,55.1,32,49.1,42.4,36.6,48.2,36.8,20.2,33.3,60.9,47.9,38.9,53.4,54.3,79,87.4,102.6,193.8,192.7,308.6,193.4,205.5,248.9,173,199.7,282.4,163.2
Indonesia,Measles,"per 1,000,000 total population",1.9,7.3,19.8,34.1,26.6,58.4,50.7,33.4,62.3,89.3,78,87.2,65.3,83.7,89.1,70.1,130.6,111,66.7,17.8,15.8,22.9,5,75.5,177,191.4,248.3,334,429.2,489.5,507.7,"1,288.7",436.9,2.3,6.7,57.3,117.3,29.6,162.8,219.3,196.2
Iran (Islamic Republic of),Measles,"per 1,000,000 total population",0,0.2,2.5,0.6,1,7.8,1.3,2.5,4.4,1,7.3,3.6,1.8,1.9,3.1,0.1,0,170.9,142,144.2,180.9,63.8,44.8,61.8,37.4,4.3,8.4,77.3,85.5,104.6,94.8,107.5,217.8,378.6,302.6,434.7,723.7,999.7,"1,139.7",892,805.4
Iraq,Measles,"per 1,000,000 total population",,96.6,12.7,1.1,1,40.3,38.3,20.2,0.5,0.5,16.5,"1,046.8",193.5,8.2,17.3,33.7,345.1,,,168.9,30.9,435,"1,977.7",33,12.3,379.7,545.4,862,"1,092.6",634.9,174.8,683.6,558.9,490.7,636.2,"1,426.2","2,511.3","2,558.3","2,187","4,578","1,944"
Ireland,Measles,"per 1,000,000 total population",3,13.3,15.8,5.3,9.2,0.9,7.1,11,23.2,62.1,97.3,36.5,12.9,14.8,20.6,22.9,82.3,146.7,62.2,62.7,,39.4,55.3,50.7,63,65.4,345.6,"1,220.2",50.7,38.4,158.4,355.6,266.5,57.2,128.3,"2,820.6","1,636.4","1,776.1",549.3,314.1,326.8
Israel,Measles,"per 1,000,000 total population",0.7,110.2,379,5.1,1,10,0.8,6.5,27.7,9.3,3.1,0.7,132.6,78.7,1.3,0.3,18.1,19.8,0.3,3.1,6.1,2.4,1.4,2.2,3.5,4.2,304.6,28.6,13.9,215.9,51.7,6.7,45.7,105.1,475.8,744.7,34.5,33,"2,048.9",60.5,58.1
Italy,Measles,"per 1,000,000 total population",1.7,26.8,44.2,66.6,,2.6,,,6.3,87.1,6.3,5.9,27.4,5.5,7.5,2.3,10.3,190.8,164.1,,25.7,51.3,71.8,725,571.2,649.4,107.6,295.3,"1,137.7",410.9,91.6,512.3,"1,616.8",361.8,373.9,"1,318","1,356.7",464.6,325.2,"1,260.7",487.2
Jamaica,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0.4,0,0,0.7,0,0,0,0,0,0,0,0,0,0.8,0,1.6,5.9,0,0,0,126.3,"1,508.7","2,382.4",12.6,15.6,12.7,28.7,102.3,512.4,"1,260","2,397",16.6
Japan,Measles,"per 1,000,000 total population",0.1,5.8,2.2,1.5,1.3,0.3,3.6,1.8,1.8,3.4,3.5,5.8,85.7,,4,,68.3,64.7,264.4,176.6,176.4,,7.1,,12.9,,,15.9,,43.6,26.2,14.1,25.2,47.7,51.6,23.1,101.2,60.5,56.2,180.8,112.2
Jordan,Measles,"per 1,000,000 total population",0,4.8,0,0,0,0,2.2,14.1,0.4,0,0,0,0.3,6.6,0.2,4.9,3.8,14,3.6,11.7,6.2,22.9,86.6,"1,449.1",94.7,69.3,117,710.5,269.3,38,81.3,411,"1,477",525.3,98.5,192.8,930.9,68.5,621.8,476.3,232.1
Kazakhstan,Measles,"per 1,000,000 total population",174.2,718.3,31.4,0.1,6.8,29.9,18.6,4.3,3.3,7.7,0.2,0,1.3,0.8,7,"1,046.4",144.5,1.6,1.2,6.3,16.4,92.6,127.4,7.8,7.9,17.9,111.6,203.8,39.7,87,16.7,,,,,,,,,,
Kenya,Measles,"per 1,000,000 total population",11.1,8.4,16,1.3,2.6,2,7.6,4.2,,55.5,2.3,29.8,32.2,39.2,49.1,4.2,0.6,1.9,22.7,344.1,657,276.6,306.2,113.5,124.9,119.6,155.1,36.8,"2,566.7","2,444.2","3,248.6","3,781.4","3,168.8","2,331.8","1,270.4","5,609.1","10,453.3","15,499.4","15,266.2","15,110.2","1,734.3"
Kiribati,Measles,"per 1,000,000 total population",0,25.5,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,24.1,"4,352.8",311.8,164.8,51.5,"3,808.5","1,505.6","58,275.2",108.6,414.4,"22,751.3","3,821.2",327.1,30.5,"31,491.3","22,583.8",0,180.7,"1,164.6","2,866.7"
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Measles,"per 1,000,000 total population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Measles,"per 1,000,000 total population",,2.9,10.2,4.4,2,4.7,14.9,17.6,8.1,10.1,4.3,,,,,4.4,10.5,,,,2.9,6.7,49.2,15.2,9.2,7.5,260.3,146.7,200.3,81.2,33.9,33.9,34.4,220.7,129.3,"1,187.7",368,"1,008.3",388.7,"1,802.9","1,009.7"
Kyrgyzstan,Measles,"per 1,000,000 total population",,371,159.7,0.8,0,"2,983.5",54.4,0.2,0,40.2,0,0.2,3,7.7,5.3,10.4,1.6,1.2,0.4,3.4,3.3,98.3,500.8,212.1,16,3.7,37.2,853.1,183,186.4,133.6,,,,,,,,,,
Lao People's Democratic Republic,Measles,"per 1,000,000 total population",19,156.1,1.4,0.4,1.2,8.3,51.1,10.9,5,17.8,24.5,12.7,28.8,282.3,9.9,51.3,263.3,324.6,376.8,17.4,62.4,439.7,896.7,132.9,185.2,654.9,207.8,234.4,115.5,319.7,509.1,674.8,557.8,660.6,360.3,404.6,257.6,308.3,112.6,,423.6
Latvia,Measles,"per 1,000,000 total population",0,1.6,13,0,0,0,17.8,0,1.4,0.5,0,0,1.4,0,3.1,0.9,0,,,0.4,0,0,1.2,1.6,1.2,0.8,3.9,20.9,94.6,2.3,7.9,,,,,,,,,,
Lebanon,Measles,"per 1,000,000 total population",2.2,152.7,137.6,18.5,6.6,6,17.9,297.8,1.6,1.7,2.4,4.6,5,78.2,200.9,131.5,46.6,119.9,8.6,2,1.3,2.1,261.5,36.6,0.6,0.9,15,122,4.2,,,,,,,,,101.4,,1.2,
Lesotho,Measles,"per 1,000,000 total population",18.2,218.3,3.3,0,0,0,0,254.4,88.8,85.8,"1,246.8",0,0,1,0.5,,15.5,0.5,0,106.6,324.7,467.4,,0,,160.1,307.8,129,"1,018.9","1,349.2","1,288.3",826.9,"1,101.8","1,533.5","2,802.1","4,824","3,907.5","3,606.3","4,904","5,533.5","5,920.5"
Liberia,Measles,"per 1,000,000 total population",174.8,243.7,784.6,204.2,172,237,7.8,0,10.4,69.4,565.4,1.6,0.3,0.3,6,2.5,1.3,46.1,43.3,466.8,"2,098.3",621.9,570.4,"1,272.9",897,27.4,287.4,"3,236.7","2,885.7",,,885.9,"1,197.7","1,011.5",387.3,"1,251.8","2,912.9","2,350.3","3,454.7","4,070.2","3,544"
Libya,Measles,"per 1,000,000 total population",,27.7,162,1.2,4.9,12.8,58.5,,50.9,,,53.6,1.3,9.9,0.2,50.4,485.3,,703.3,116.3,,,9.6,5.1,,,232.1,154.1,793.6,373,209.8,47.8,74.9,97.6,213,"1,082.4",674.2,275.5,266.6,469,480.5
Lithuania,Measles,"per 1,000,000 total population",0.7,302.2,10.7,0.7,7.6,17.1,3.7,11.6,0,2.3,0.6,0,0.3,0,0.3,0.3,0.3,0.3,29.9,2,5.4,6.5,5.1,8.4,9.7,51.8,78.4,67.8,54.2,38.7,,,,,,,,,,,
Luxembourg,Measles,"per 1,000,000 total population",0,39,6.6,6.8,0,0,,0,3.8,11.6,0,0,2.1,0,17.2,,0,2.2,,,0,,,2.4,60.4,2.5,2.5,10.1,122.6,2.6,41.9,31.8,48.1,412.3,73.2,169,95.7,57.5,665.6,586.7,173.1
Madagascar,Measles,"per 1,000,000 total population",28.1,"7,906.4",815.6,0.4,0.2,0.1,0.1,0.3,0.1,0,0,0,0.2,0,0.1,,"1,997.3","3,601.6",643.9,575.4,"2,236.1","2,303","1,047.4",966.3,428.8,870.5,"1,084",478.1,150.1,487.7,"1,246.6","2,631.5","1,558.5","1,018.1","2,081.3","6,944.3","6,839.3","10,724.1","9,150.2","15,678","13,730.1"
Malawi,Measles,"per 1,000,000 total population",4,0.9,0.1,0.2,0,0,0.2,0.1,0.7,1.7,"8,164.7",1.5,1.5,10.7,0.1,14.6,90.7,13.9,7.9,13.1,27.3,14,340.3,"1,056.5",909.9,428.5,222,372.2,"3,322",596.9,,"10,258.3","9,390.2","14,010.4","13,785.1","17,415.6","11,596.6","22,298.9","15,979.5","13,194.8","26,027.9"
Malaysia,Measles,"per 1,000,000 total population",14.8,33.7,62.8,54.9,51.1,43.5,7.4,6.6,64.3,54.8,2.6,5.5,12.3,14.7,21.5,54.8,227.4,25.6,16.9,92.7,266.7,113.7,21.8,29.1,21.9,31.9,17.3,27.8,19.1,14.8,31.2,58.6,135.4,328.6,292.9,331,536.3,628.4,640.4,402.6,632.5
Maldives,Measles,"per 1,000,000 total population",27.7,0,1.9,2,0,0,0,0,0,0,0,17,0,59.7,143.5,"4,364.7",118.9,247.8,"3,147.7",0,71.6,,0,,0,"12,080","2,840",251.4,0,0,0,0,0,0,0,"10,705",0,0,0,"9,028",
Mali,Measles,"per 1,000,000 total population",24.6,23.1,26.2,1.4,6,12.3,17.1,13.4,21.3,1.5,114.2,201.6,6.9,0.1,9.7,2.6,13.9,19.4,61.7,396,144.2,235.5,988.4,349.8,"1,117.7",344.9,366.4,"1,165.9",884.7,"1,560.2",164.3,434.5,548,539.8,587.1,"3,796.3",584,"1,160.9","2,223.9","1,162.9","1,411.4"
Malta,Measles,"per 1,000,000 total population",4.5,68.1,13.7,0,0,4.6,0,,,7.2,0,2.4,2.4,4.9,2.5,14.8,9.9,10,17.6,5,5.1,2.6,7.7,13,42.1,71.6,21.4,8.1,116.9,21.9,16.6,47.4,47.8,130.5,"5,277.2",505.4,169,"1,823.6","4,540.5",362.1,42.2
Marshall Islands,Measles,"per 1,000,000 total population",,,,,,,,,0,0,0,0,,0,0,0,0,"21,079.2",0,0,0,0,0,0,0,,0,180.6,203.1,392.5,296.2,283.7,,0,24.9,104.4,0,0,0,0,0
Mauritania,Measles,"per 1,000,000 total population",0,43.3,17.5,14.7,3.1,0.2,3.6,16.2,9.4,65,369.8,94.9,1.2,3.4,7.1,42,"1,714.4","1,263.8",317.8,517.3,,"2,054.6",522,205,,84.3,"1,182.9","2,617.2","2,328.9","2,203.6",677.9,"2,539",224.8,"1,235.8","2,906.5","8,495.9","6,473","9,340.8","4,127.6","5,457.3","7,426.1"
Mauritius,Measles,"per 1,000,000 total population",,77.2,,0,0,,0,0,0,1.6,9.6,12.1,9.7,10.5,2.4,5.7,23,642.7,,0,0,0,,0,0,5.3,9,80.1,6.5,0,0.9,0,1.9,0,4.9,2,6,0,4,0,36.2
Mexico,Measles,"per 1,000,000 total population",1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.6,0.4,0,0,0.3,0,0,0,0,2.7,1.4,1.9,6.1,59.4,819.4,247.4,48.5,35.1,126.6,313.6,69.4,46.3,89.6,160.4,438.7
Micronesia (Federated States of),Measles,"per 1,000,000 total population",,0,0,0,0,0,"1,303",0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,,0,"8,771.1",0,404.4,0,10.4,0,0,11.1,,,,,,,
Monaco,Measles,"per 1,000,000 total population",,25.7,0,26,,,,,137.1,,,,,,,,,0,,,,,0,,,,,,"5,358.5",,0,0,0,0,0,0,0,0,0,441.8,
Mongolia,Measles,"per 1,000,000 total population",0,0.6,0.3,2.9,"9,904.9","6,789.9",0,0,0,0,2.6,3,11.8,4.6,10.2,0,0,7.3,493.2,"4,412.7",385.8,4.2,3.4,1.7,55.3,241.5,77.6,31.4,476.5,295.8,135.5,"1,016.3","1,456.7",185.9,67.3,273.2,"15,893.4","1,061.3",117.6,400.9,"3,159.3"
Montenegro,Measles,"per 1,000,000 total population",,0,318.6,0,0,,,0,0,8,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,Measles,"per 1,000,000 total population",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Measles,"per 1,000,000 total population",,,13.4,,,0.5,0.3,2.7,20.1,30,19.6,26.1,46.1,72.1,39.5,,212.5,364,203.7,93.5,255.9,381.4,279.7,90.5,48.4,88.2,132.1,322.3,233.7,84.1,63.6,69.3,96.5,"1,135.4",667.2,187.4,521.9,"3,759.3","2,533.4","5,346.1","4,348.1"
Mozambique,Measles,"per 1,000,000 total population",13.6,2.1,0.5,4.3,,2.9,0.3,0.3,5.8,7.3,98.6,2.6,0.2,12.3,8.7,614.7,471.9,"1,494.9",381.3,388.8,416.4,228.3,933.3,934.6,579.6,269.1,643.4,403.5,224,379.6,"1,392.3","1,782.9",951.7,997.1,"1,257.7","1,293.2",989.9,943.3,977,"1,373.1","2,585.5"
Myanmar,Measles,"per 1,000,000 total population",8.2,97.2,25.9,24.2,5,0.1,2.3,19.5,42.3,40.1,3.8,6.5,6.7,21.9,15.4,6.4,27.4,17.2,15.4,53.3,18.1,17.1,32.1,23,37.9,26.7,42.8,62.5,42.3,105.9,191.1,95.3,107.8,140.6,99,431.5,445.2,518.4,702.5,766.8,627
Namibia,Measles,"per 1,000,000 total population",2,4.8,3.7,6.7,17,91.6,209.8,460.3,39.2,36.6,"1,481","1,958.6",0,10.5,1.5,2.1,2.1,139.4,690.2,228.1,261.3,167.8,285.9,"3,156","2,946.4","1,058.4",83.6,854,"4,531.4",,,,"3,353.4","13,113.2",,,,,,,
Nauru,Measles,"per 1,000,000 total population",,0,,,0,,,,"1,085.2",0,,0,0,0,0,0,0,,0,0,0,95.7,,"5,449.6",,0,,,,,"31,559",0,,0,115.2,,,,124.8,0,"1,290.2"
Nepal,Measles,"per 1,000,000 total population",13.3,15,9.3,3.6,46.5,59.2,47.5,69.1,124.6,87.2,7,7,78.3,53.6,108.9,195.1,475,532,273,445.6,392.5,,250.3,561.3,326.5,222.9,66.6,2.9,6.8,4.8,9.6,9.3,10.7,10.8,3.9,56.5,123.9,69.4,80.6,16.5,37.4
Netherlands,Measles,"per 1,000,000 total population",0.1,4.9,1.4,0.9,0.4,0.4,8.3,156.3,0.6,3,0.9,0.9,6.6,0.6,0.1,0.2,0.7,0.2,0.2,,64,149.5,0.6,1.3,3.7,11.9,19.6,30.7,31.1,3.9,1.1,8.3,102.8,15.5,6.2,1.7,5.7,33.4,6.6,5.4,12.6
New Caledonia,Measles,"per 1,000,000 total population",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Measles,"per 1,000,000 total population",1.5,457.7,6.3,3.2,22.1,2.2,61.3,1.8,15.2,135.1,9.8,45.8,,5.9,4.8,4.8,8.1,16.4,5.3,16.6,16.8,27.8,43.3,543.9,,,9.1,19.4,,"2,680.9",,0,,,,,,,,,
Nicaragua,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.7,76,534.3,0,0,0,78.6,202.6,667,256,42,31.6,65.4,66.7,"1,158.8"
Niger,Measles,"per 1,000,000 total population",113.8,442.8,224.3,54.2,37.3,384.6,59.4,66.1,15.3,45,22.6,50.6,86.4,19.2,4.2,160.2,"4,804","4,284.5","2,591","5,208.6","1,881.4","3,308","1,081.4","3,207.7","7,013.7","7,163.7","5,310.1","4,125.9","3,658.4","10,866.7","2,549.4","2,947.5","2,234.1","1,949.8","2,476","9,353.5","6,280.3","4,639.3","6,276.5","5,863.2","6,146.4"
Nigeria,Measles,"per 1,000,000 total population",43.1,139.8,36.1,58.6,92.1,68.6,38.9,307.7,38.6,115.7,53.6,8.2,66.3,17.9,4.9,798.8,232.9,"1,070.9",326.7,"1,340.6","1,735.2","1,820.8","1,230.2",188.5,801.3,114.8,"1,007.5",532.9,858.3,450.8,"1,215",363,839.7,881,"1,349.5","1,935.9","2,241.8","1,722.3","1,805.4","1,718.9","2,207.8"
Niue,Measles,"per 1,000,000 total population",,0,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,908.7,0,0,"52,792.3",,419.8,408.8,0,"2,685.1","7,740.5",0,0,0,612,"6,468.7"
North Macedonia,Measles,"per 1,000,000 total population",0,641.7,30.7,9.1,0,0.5,55.8,1.9,3.4,338.2,104.8,2.4,13.1,0.5,1.5,2.4,4.4,8.8,9.3,13.2,17.7,26.2,,182,530.8,109.4,115.6,"1,257.5",90.5,90.8,,,,,,,,,,,
Northern Mariana Islands,Measles,"per 1,000,000 total population",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Measles,"per 1,000,000 total population",0.7,3.3,2.2,0.2,0,2.7,0.6,1.6,0.8,7.9,0.6,0.4,0.8,,0,0,1.5,1.8,1.1,0.9,0,,,2.5,5.2,4.1,1.4,1.6,17,4,22.4,3.1,31.6,134.5,292.4,315.9,428.9,"1,498.6","2,669","1,118.8",323.5
"occupied Palestinian territory, including east Jerusalem",Measles,"per 1,000,000 total population",196.2,45.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,Measles,"per 1,000,000 total population",,0,0,1.9,24.8,0,,0,3.7,1.5,1,6.6,6.5,9,5,10,7.4,0.4,2.1,6.5,6.6,4,2.2,5.3,20.6,30.8,84.2,"1,499.9",924.7,116.2,696.4,"2,443.8","3,606.4","2,348.3","1,281.7","2,776.9","6,744.6","6,723.3","12,902","33,327.5","9,208.4"
Pakistan,Measles,"per 1,000,000 total population",12.4,9.5,155.5,44.1,13.3,1.9,7,45.7,43,23.9,24.1,4.9,6.6,16.7,46.6,18.6,27.1,31,26.1,26.4,14.5,21.2,17.3,14.1,8.6,13.9,11.8,16.8,26,5.6,202.4,22.5,547.8,468,444.3,289.5,194.2,243.4,238.4,359.6,366.1
Palau,Measles,"per 1,000,000 total population",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,54.3,0,0,0,0,"5,710.8",0,0,0,68,0,0,0,0,0,0,0,0,0
Panama,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,1.1,34.2,328,963.1,765.3,124.4,159.6,813.1,"1,851","1,935.4",165,280.4,"1,935.6","2,138.2","1,059.4"
Papua New Guinea,Measles,"per 1,000,000 total population",0.4,0.1,2.2,0.8,0,4.7,289.3,1.5,0,0,0,0,0,0,0.2,188.1,218,620.7,"2,889.2",673.3,"1,220.2","1,102.8",205.7,124.5,435.2,719.1,"1,346.5","1,659.3","1,371.7",579.8,991.2,"2,174.2","1,487.3","2,377.6","4,544.1","1,391.8","2,483.4","2,588.9","3,388.9","4,503.4","3,395.2"
Paraguay,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,28.6,2.7,15.3,26.1,453.5,194.4,121.4,330.5,93.9,188.7,447.6,161.2,181.2,274.1,363,157.6,130.8,234.2
Peru,Measles,"per 1,000,000 total population",0,0.1,1.3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,3.8,4.2,14.5,28.1,73.9,984.2,45,33.4,53,273.5,301.6,301.5,475,674.9,403.7,689.7,560,"1,096.8"
Philippines,Measles,"per 1,000,000 total population",35,448.8,195.3,23.1,6.9,6.1,585.5,29.5,15.8,68.4,67.8,15.9,3.8,5.9,0.1,1.4,35.7,126.6,86.1,92.4,91.3,39.1,26.6,126.2,,56.1,44.1,113.2,604.5,457.6,693.7,"1,143.3","1,204.2","1,430.2","1,064.9","1,160","1,425.2",849.7,719.4,555.4,565.2
Poland,Measles,"per 1,000,000 total population",0.8,36.1,9.5,1.7,3.2,,,2.2,1.9,,0.3,3,,1,3.1,0.3,0.3,1.2,0.9,3.5,2,2.6,58.5,8.8,16.6,19.6,22.5,36.8,96.7,63.5,"1,487.6",191,26.7,34.3,182.2,960.8,"1,475.8",308.3,210.4,983.4,700.1
Portugal,Measles,"per 1,000,000 total population",,1,15.8,3.3,3.3,0,,0.1,2.2,0.2,0.5,0.3,0.1,0,0,0.7,0.5,0.8,0.8,,4.4,4.9,9.4,12.7,11.1,19,321.6,88.1,20.9,27.7,41.1,"1,192.1",230.8,82,,,,,,,
Qatar,Measles,"per 1,000,000 total population",1,1.8,0.7,3.3,11.3,7,18.7,31.2,72.9,49.6,158.9,67.7,,296.3,140.8,85.5,38.5,35.2,53.1,37.4,77.6,,210.3,820.1,72.7,0,61.1,171.5,137.3,"1,155.2",659.3,"2,345.7",861.1,968.9,"5,267.3","3,801.7","2,596.2","2,638.2","1,825.2","6,004.3","1,752.9"
Republic of Korea,Measles,"per 1,000,000 total population",,3.8,0.3,0.1,0.4,0.1,8.7,2.1,0,0.8,2.3,0.3,0,4,0.6,0.1,0.2,0.7,1.3,483.4,689.1,,0.1,0,1.6,1.6,175.9,,,,79.6,56.3,37.5,45.1,44.1,31.4,55.7,17.5,173,59.8,134
Republic of Moldova,Measles,"per 1,000,000 total population",,22.3,83.9,0,0,0,0.5,6.6,2.7,0,0,0,0,2.4,8.2,1.4,1,20.8,"1,179.7",109.1,163.5,58,158.2,84.9,79.7,270.5,906.4,198.1,73.6,141.9,742.6,,,,,,,,,,
Romania,Measles,"per 1,000,000 total population",52.2,201.4,328.5,461.8,123,0.2,2.9,57.6,368.3,206,9.4,0.4,0.6,16.8,150.5,235.5,5.4,0.4,0.6,0.5,1.6,10.8,424.9,"1,041.6",39.7,95.3,269.4,"1,217.7",259.3,75.6,199.7,164.9,77.4,508.1,"1,468.7",217,91.7,206.2,"2,701.7",949.3,463.2
Russian Federation,Measles,"per 1,000,000 total population",8.3,30.8,17.4,5,1.2,5.8,32.6,16.2,14.7,4.4,0.9,0.7,0.2,1.2,8,3.2,17,22.8,4,14.2,32.8,50.6,42.2,19.5,48.1,44.7,193.3,501.9,125.2,138.2,124.5,,,,,,,,,,
Rwanda,Measles,"per 1,000,000 total population",8.3,64.8,18.6,12.1,8.1,0.1,0.9,1.6,7.1,3,12.1,0.5,0.6,2.8,54.6,14.6,44.5,124.3,324.9,108.9,264.1,581.1,,122.6,663.2,"4,947.1","1,010.6","1,574.3","2,600.5",821.6,"1,230.6",746.1,615.7,"1,827","6,634.2","2,726.6","2,925.5","3,514.5","6,683.6","14,895.9","15,602"
Saint Kitts and Nevis,Measles,"per 1,000,000 total population",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,"1,987.1",297.4,295.3,511.7,530.4,644.8,47.4,"13,089.4","3,229.4","1,210.3","7,060"
Saint Lucia,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,0,14.3,217.4,73.6,30,30.6,249.1,71.3,104.6,579.3,"16,852.9","1,122",297.1
Saint Vincent and the Grenadines,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,9.3,93.9,9.4,19,47.8,144.5,611.5,"7,403",187.3,"2,555.5"
Samoa,Measles,"per 1,000,000 total population",55.4,"28,853.8",0,15.4,,,,,5.3,0,43,0,,,0,0,0,0,,,,,46.3,0,508.3,0,0,41.9,24.2,0,0,6.2,0,0,6.2,"6,844.2",0,44.2,177.9,460.3,"2,417.6"
San Marino,Measles,"per 1,000,000 total population",0,354.4,0,0,0,,,,31.1,0,0,0,,0,0,0,0,105,,,36.4,0,,828.2,,,,238,281.9,40.9,41.5,,,,,,,,,,
Sao Tome and Principe,Measles,"per 1,000,000 total population",,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,174.7,"2,464.7",692.6,0,0,83.9,,"1,041.6",0,642.3,590.9,"5,601.5","2,137.2",30.2,"1,984.2","5,417.9"
Saudi Arabia,Measles,"per 1,000,000 total population",1,30.2,34.5,13.9,3.9,6.9,5,38.7,10.1,12.8,12.2,3.1,6.1,184.6,32.9,15.7,81.3,53.8,14.3,7.3,,139.4,279,205,126.5,138.1,68.8,179.1,653.8,379.7,335,229,545.8,"2,022.8","1,655","1,402","2,452.5","3,814.4","3,029.8","3,470.8","4,758.3"
Senegal,Measles,"per 1,000,000 total population",12.7,16.4,0.8,0.7,10.8,4,2.3,1.2,3.4,1.4,33.8,81,0.5,0.9,0.3,0,2.9,144.1,"1,768.2","2,470",596,383.3,705.4,722.2,905.3,,702.5,"1,786","1,923.3","1,473.4",664.9,"1,497.9",225.2,502.2,"1,024",,,"4,348.6","5,479.1","6,012.8","5,220"
Serbia,Measles,"per 1,000,000 total population",,2.5,576.6,81.7,1.2,43.1,4.2,0.1,0,41.3,2.2,0.1,0.2,22.1,0.2,0.2,1.2,1.6,6.7,3.7,4,30.1,95.2,479.5,46.5,53,81.1,"1,712.8",217.3,103.2,523,"1,708.7",705.4,923.7,"1,520.3","2,736.8","2,200.9","1,420.6","1,526.4","2,323.8","4,202.9"
Seychelles,Measles,"per 1,000,000 total population",274.5,0,,0,0,0,0,0,0,0,0,0,0,11.1,111.7,0,0,0,0,0,,25,"7,917.6",38.3,25.8,0,0,0,0,84,184.2,71.3,0,28.6,57.2,143.3,273.8,"3,878.3","5,093.8",59.5,45.3
Sierra Leone,Measles,"per 1,000,000 total population",2.1,5.1,45,250.1,125.5,84.6,143.4,2.2,101,284.2,169.7,4.9,7.2,0,5.7,5.1,1.3,112.7,114.4,136.5,779.8,,,83.3,,79.9,26.5,528.5,210.2,65.3,192.1,146.9,49.8,247.6,41.9,880.6,"1,083.2","1,195.4","1,158.7",983.8,"1,069.8"
Singapore,Measles,"per 1,000,000 total population",,26.2,6.6,12.3,,,,25.3,7.8,28.1,9.7,3.2,3.8,3.3,5.2,7.7,23,8,51.4,100.1,35,16.4,29.5,376.6,,52.5,46.5,0,189.4,69.7,47.5,49.7,66.8,43.7,78.9,50.3,914,262.3,780.4,313.4,
Slovakia,Measles,"per 1,000,000 total population",0,58.3,103.6,1.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,98.2,115,0,0.4,5.4,103,77.9,39.7,8.9,,,,,,,,,,
Slovenia,Measles,"per 1,000,000 total population",2.9,24.5,4.3,3.9,0.5,8.7,25.2,0.5,1,10.7,1,0,0,0,0,0,0,0,0,0,,0.5,6.5,4.5,4,199.9,67.2,3.5,5,15.9,,,,,,,,,,,
